id	name	srounded	sangular	slinear	smovement	spoints	ssoft	srepeated	water	people	plants	food	animals	temperature	scenetype	movement	location	keywords	width	height	created_at	updated_at
113	p87037	0.75	0.31	0.19	0.31	0.75	0.06	0.50	1.19	1.13	1.88	1.25	4.81	4.13	4.88	2.06	4.88	lizard rock hot reptile spots tropical geiko stone lizard	384	256	NULL	NULL
114	p87068	0.75	0.25	0.56	0.31	0.38	0.19	0.25	1.75	1.13	3.69	1.38	4.81	3.81	4.63	2.00	4.56	lizard branch green log wood reptile brown snake	386	256	NULL	NULL
115	p91042	0.86	0.00	0.07	0.00	0.21	0.29	0.71	1.43	1.43	3.57	4.86	1.57	3.21	3.79	1.36	3.36	tomatoes ripe tomatos red fruit round food produce vegetables spheres balls	384	256	NULL	NULL
116	p91093	0.94	0.06	0.19	0.00	0.06	0.44	0.69	1.75	1.13	3.94	4.88	1.13	3.25	4.06	1.25	1.63	avocado fruit green yellow brown pit slice stone food two pair half halves seed round guacamole hole circular circle sphere	385	256	NULL	NULL
117	p96025	1.00	0.17	0.50	0.08	0.25	0.08	0.92	1.83	1.67	1.83	4.25	1.67	3.00	2.25	1.50	2.25	lollipops round food candy red yellow orange purple sweets suckers sticks sugar	382	256	NULL	NULL
118	p96057	0.61	0.39	0.61	0.11	0.22	0.06	0.83	1.61	1.44	1.56	4.83	1.39	3.17	2.33	1.72	2.00	pretzels sticks brown food pattern wieners snack stacks	382	256	NULL	NULL
119	400001	0.56	0.22	0.06	0.81	0.19	0.70	0.17	4.59	1.39	1.42	1.51	1.55	2.19	4.56	4.60	4.64	water waves surf ocean sea foam spray wet crash blue	384	256	NULL	NULL
120	400002	0.49	0.78	0.41	0.07	0.61	0.28	0.25	1.36	1.23	2.29	1.23	1.52	2.93	4.60	1.63	4.52	sunset sunrise sundown sunup red rocks formation purple hills mountain desert	384	256	NULL	NULL
121	400003	0.27	0.53	0.66	0.86	0.18	0.00	0.60	1.27	4.69	1.22	1.22	1.25	3.58	2.61	4.68	4.51	man hurdles track jump legs blue sports athletes running races fast speed stadium arena	384	256	NULL	NULL
122	400005	0.38	0.21	0.44	0.33	0.17	0.66	0.78	1.30	1.28	3.86	1.47	1.40	4.16	4.73	2.43	4.70	sand dunes desert sky dry hot warm shrubs bushes wispy clouds	384	256	NULL	NULL
123	400006	0.34	0.24	0.18	0.81	0.49	0.59	0.17	4.53	1.44	1.38	1.77	4.47	2.96	4.66	4.49	4.63	eagle flying water wings bird claw talon air	384	256	NULL	NULL
124	400007	0.14	0.88	0.58	0.22	0.85	0.72	0.38	4.72	1.56	4.13	1.43	3.96	2.88	3.92	2.26	4.78	building castle moat sky clouds bridge swan tower lake water stones trees	384	256	NULL	NULL
125	400008	0.88	0.07	0.17	0.29	0.17	0.28	0.88	1.21	1.23	4.31	2.13	4.81	3.76	4.76	2.77	4.79	zebra stripes horse safari savannah	384	256	NULL	NULL
126	400010	0.81	0.15	0.08	0.06	0.44	0.32	0.41	1.56	1.22	4.76	1.53	1.28	3.11	4.64	1.48	4.69	flowers dirt soil red green plants dry	384	256	NULL	NULL
127	400012	0.20	0.82	0.48	0.51	0.63	0.38	0.80	1.44	4.56	1.37	2.46	1.43	3.60	2.54	3.67	4.65	festival fair market marketplace balloons tents city building skyscrapers red white stripes people crowd windows	384	256	NULL	NULL
128	400015	0.88	0.13	0.36	0.22	0.06	0.09	0.82	1.31	4.75	1.40	3.76	1.36	3.14	2.87	2.21	4.55	men people cheese edam circles round discs yellow white hats holland dutch netherlands	384	256	NULL	NULL
129	400016	0.93	0.13	0.17	0.46	0.63	0.64	0.70	4.75	1.25	2.62	1.78	4.40	2.56	4.69	3.19	4.09	fish water sea ocean tropical coral eye yellow stripes scuba dive	384	256	NULL	NULL
130	400018	0.14	0.69	0.32	0.13	0.58	0.45	0.43	4.51	1.56	4.50	1.65	1.52	3.09	4.02	1.93	4.56	building house lake pond water stones rocks pagoda japan trees garden peaceful meditation	384	256	NULL	NULL
131	400019	0.38	0.40	0.47	0.22	0.52	0.53	0.55	4.43	3.01	4.08	1.83	1.65	3.90	4.18	2.82	4.47	beach sand water sea ocean canoes boats people blue trees wooden sky shadows island	384	256	NULL	NULL
132	400020	0.90	0.48	0.41	0.06	0.27	0.06	0.90	1.28	3.41	2.65	1.35	1.51	3.30	3.06	2.13	4.68	coliseum rome old building ruins ancient arches people	384	256	NULL	NULL
133	400021	0.83	0.38	0.67	0.09	0.21	0.58	0.58	4.53	1.40	4.67	1.44	1.78	2.60	4.35	1.97	4.63	bridge road arches water river lake creek stream trees fall autumn stone circles grass color leaves	384	256	NULL	NULL
134	400022	0.49	0.24	0.36	0.04	0.38	0.73	0.45	2.81	1.20	4.51	1.29	1.30	1.25	4.63	1.46	4.62	snow trees cold winter wet ice white	384	256	NULL	NULL
135	400023	0.45	0.30	0.22	0.87	0.37	0.83	0.50	4.67	1.30	4.36	1.50	1.70	2.82	4.72	4.41	4.75	water river waterfalls rapids white cascade rocks	384	256	NULL	NULL
136	400024	0.35	0.39	0.24	0.78	0.47	0.62	0.19	4.64	4.51	1.64	1.42	1.56	2.30	4.29	4.58	4.58	rapids river rocks water wet kayak yellow paddle oar stick	384	256	NULL	NULL
137	400027	0.60	0.19	0.09	0.38	0.48	0.32	0.27	1.48	1.31	4.33	1.83	4.63	3.09	4.68	2.94	4.61	animals furry baby young fox foxes burrow den nest dirt ground plants flowers kits	384	256	NULL	NULL
138	400028	0.88	0.10	0.05	0.15	0.21	0.38	0.33	1.31	1.43	4.51	1.93	4.75	3.45	4.65	2.42	4.71	chimpanzee monkey ape gorilla plants hairy grass green	384	256	NULL	NULL
139	400029	0.00	0.75	0.62	0.02	0.83	0.35	0.48	1.28	1.46	1.26	1.24	1.30	4.37	3.60	1.46	4.71	pyramid stone apex point triangles tetrahedron ancient desert brown egypt egyptian giza cairo pharoah mummy	384	256	NULL	NULL
140	400030	0.79	0.20	0.10	0.50	0.60	0.25	0.42	1.42	1.26	4.70	2.66	4.72	3.15	4.75	3.16	4.70	birds nest chicks beaks feathers mother baby babies young food feeding leaves green brown orange	384	256	NULL	NULL
141	400031	0.62	0.34	0.46	0.72	0.49	0.26	0.93	1.21	4.65	1.15	1.20	1.36	2.88	2.63	3.96	4.42	guards buckingham palace red coats jackets marching guns rifles step black hats british royal uniforms soldiers	384	256	NULL	NULL
142	400033	0.55	0.48	0.26	0.83	0.39	0.62	0.29	4.66	4.48	1.38	1.40	1.35	2.52	3.98	4.53	4.63	boats yachts sail sailboats people sailors water ocean blue sea waves surf wind spray crew	384	256	NULL	NULL
143	400034	0.73	0.31	0.24	0.25	0.51	0.04	0.25	1.49	1.34	2.89	1.68	4.42	3.72	4.49	2.73	4.38	lizard rocks dirt hot desert cactus iguana brown reptile	384	256	NULL	NULL
144	400037	0.73	0.40	0.57	0.86	0.22	0.75	0.47	1.82	1.82	2.78	1.33	1.31	3.09	3.31	4.45	4.62	train engine steam bridge tracks rails smoke arch tunnel whistle metal	384	256	NULL	NULL
145	400038	0.82	0.10	0.07	0.36	0.12	0.84	0.14	3.40	1.31	1.24	1.39	4.77	1.21	4.67	3.00	4.73	polar bear animal snow ice white cold winter arctic freezing furry	384	256	NULL	NULL
146	400039	0.42	0.16	0.38	0.47	0.41	0.82	0.22	4.58	1.33	4.68	1.81	1.67	3.91	4.57	3.28	4.67	tropical palm trees island ocean sea water clouds sky beach reef coconuts green blue	384	256	NULL	NULL
147	400040	0.23	0.33	0.39	0.65	0.38	0.62	0.24	4.40	4.59	3.97	2.02	2.02	2.56	4.55	3.49	4.65	water river stream creek fish fishing fisherman casting net creel pole line tent woods wilderness	384	256	NULL	NULL
148	400042	0.87	0.26	0.09	0.01	0.49	0.08	0.55	1.35	2.77	1.38	1.37	1.49	2.73	1.55	1.35	1.52	buddha buddhism statue icon faces hands shrine god prayer worship metal gold golden art spiritual oriental	384	256	NULL	NULL
149	400043	0.49	0.22	0.45	0.41	0.51	0.66	0.34	4.48	1.60	1.54	1.66	4.40	1.40	4.52	3.27	4.54	penguins birds wings icebergs snow water ocean sea cold flow arctic antarctic glacier polar	384	256	NULL	NULL
150	400047	0.47	0.81	0.53	0.10	0.81	0.31	0.79	1.34	2.63	1.35	1.26	1.32	2.79	2.30	1.92	4.65	cathedral church old religion stone notre dame cars people towers europe building dome arches	384	256	NULL	NULL
151	400048	0.52	0.40	0.40	0.80	0.30	0.06	0.41	1.43	4.56	1.55	1.49	4.59	3.31	3.45	4.59	4.38	rodeo horse race crowd cowboy western hat dirt gallop barrel arena fences stands grandstand	384	256	NULL	NULL
152	400049	0.15	0.32	0.22	0.14	0.75	0.75	0.31	4.27	1.32	4.58	1.64	1.83	2.54	4.60	2.17	4.64	trees forest fog mist steam lake river stream water colors autumn fall leaves rocks	384	256	NULL	NULL
153	400050	0.41	0.10	0.41	0.59	0.19	0.79	0.23	4.58	3.59	3.92	1.70	1.63	4.05	4.55	3.20	4.65	beach oceans sea water waves sand island tropical trees blue sky clouds surf emerald sunny people swimmers shore	384	256	NULL	NULL
154	400051	0.33	0.46	0.07	0.15	0.74	0.78	0.27	4.26	1.60	4.30	1.88	1.97	2.50	4.39	2.23	4.48	lake forest trees mountains jagged rocks clouds snow water wilderness	384	256	NULL	NULL
155	400052	0.77	0.09	0.15	0.51	0.22	0.68	0.64	4.65	1.28	3.98	2.12	4.46	2.73	4.68	3.22	4.31	fish coral reef orange pink blue purple underwater water tropical ocean sea fins scuba dive	384	256	NULL	NULL
156	400055	0.53	0.30	0.28	0.26	0.66	0.69	0.29	4.55	1.32	1.65	1.41	1.47	1.37	4.61	2.43	4.63	water ice snow cold rocks lake mountains	384	256	NULL	NULL
157	400058	0.24	0.44	0.23	0.30	0.53	0.79	0.40	2.66	4.37	2.11	1.71	1.73	1.49	4.46	2.28	4.56	mountains snow ice clouds sky blue man boots pack climber climbing sitting rocks ledge	384	256	NULL	NULL
158	400059	0.32	0.57	0.56	0.51	0.44	0.79	0.62	4.09	1.44	4.22	1.58	1.48	2.71	4.17	3.13	4.62	windmills wind sky clouds river stream water lakes grass holland dutch netherland crosses	384	256	NULL	NULL
159	400060	0.82	0.26	0.15	0.22	0.37	0.42	0.70	3.86	1.77	4.66	1.51	1.46	2.96	3.68	1.98	4.60	garden statues park flowers hedges grass fountain water trees green	384	256	NULL	NULL
160	400061	0.05	0.87	0.71	0.30	0.72	0.03	0.83	1.29	3.72	1.38	1.33	1.32	2.84	2.00	2.92	2.11	boxes ladders warehouse angles factory construction zone workmen scaffolding wood hardhats	384	256	NULL	NULL
161	400062	0.75	0.38	0.21	0.18	0.28	0.24	0.29	1.32	4.76	1.38	1.58	1.41	2.54	3.21	2.27	4.56	couple people man woman germany swiss bavaria dance hat beard suspenders festival happy european	384	256	NULL	NULL
162	400064	0.24	0.32	0.63	0.14	0.35	0.80	0.62	4.56	1.41	1.51	1.37	1.37	3.22	4.52	2.16	4.66	sunset sunrise sundown sunup orange red clouls lake water pier dock mountains wood posts	384	256	NULL	NULL
163	400067	0.66	0.52	0.50	0.75	0.51	0.31	0.48	3.60	2.12	1.36	1.47	1.44	2.48	3.18	4.35	4.58	planes water ocean sea military propellers crosses airplanes wings sky force navy blades banking	384	256	NULL	NULL
164	400068	0.57	0.16	0.45	0.17	0.24	0.19	0.83	2.07	1.58	4.34	2.78	1.70	2.93	4.37	1.90	4.64	green steps curves curvy farm land mountains rice tea houses buildings landscape grass	384	256	NULL	NULL
165	400072	0.20	0.70	0.28	0.05	0.68	0.31	0.28	1.43	1.31	4.15	1.39	1.56	3.87	4.57	1.53	4.62	desert butte red rocks dirt sand sagebrush brush mesa grass blue sky tower	384	256	NULL	NULL
166	400073	0.54	0.20	0.09	0.10	0.63	0.18	0.84	1.74	1.32	4.63	1.43	1.38	3.19	4.42	1.70	4.33	flowers six petals colors stripes red pink white green leaves stars	384	256	NULL	NULL
167	400074	0.40	0.28	0.13	0.74	0.38	0.27	0.17	2.70	4.23	1.47	1.37	1.37	4.59	3.18	4.11	3.67	fire flames blaze hot fireman firemen firefighters roaring danger hoses firehose helmets inferno	384	256	NULL	NULL
168	400075	0.28	0.72	0.57	0.16	0.48	0.51	0.49	4.62	2.30	2.38	1.49	1.45	2.93	3.67	2.30	4.67	castle stone building city town village colored lights lake water ocean sea night hill europe boats rock	384	256	NULL	NULL
169	400076	0.50	0.80	0.54	0.53	0.41	0.13	0.62	1.61	2.51	1.96	1.36	1.43	2.78	2.41	3.45	4.57	arc arch triomphe triumphe paris france traffic arch monument nighttime lights streaks cars	384	256	NULL	NULL
170	400078	0.77	0.41	0.14	0.00	0.58	0.08	0.05	1.29	1.26	4.16	1.47	1.49	3.85	4.51	1.64	4.60	desert western arch red rocks trees bushes hill	384	256	NULL	NULL
171	400079	0.90	0.14	0.05	0.01	0.35	0.57	0.59	1.95	1.33	1.34	4.69	1.31	1.45	1.92	1.30	1.57	food ice cream flavors desserts ribbons cones balls colors six round spheres scoops bouquet cold	384	256	NULL	NULL
172	400081	0.71	0.14	0.29	0.84	0.23	0.70	0.09	4.70	4.59	1.36	1.29	1.31	2.83	4.33	4.66	4.73	waves surf surfer surfboard curl spray board wetsuit tube water ocean sea	384	256	NULL	NULL
173	400087	0.79	0.12	0.51	0.42	0.08	0.73	0.36	4.72	4.47	1.60	1.42	1.59	4.00	4.59	3.07	4.60	sunset sunrise sundown sunup orange water lake woman girl sex bathing suit bikini wading	384	256	NULL	NULL
174	400089	0.88	0.16	0.39	0.01	0.21	0.21	0.79	1.44	1.31	2.07	4.72	1.23	3.15	2.12	1.25	1.51	food pies pizzas round flans pans dishes table crust frittatas	384	256	NULL	NULL
175	400090	0.58	0.27	0.08	0.12	0.62	0.53	0.68	1.31	1.33	1.22	1.30	4.68	2.95	3.13	2.05	1.65	kittens cats three faces ears soft furry points eyes whiskers gray grey striped meow	384	256	NULL	NULL
176	400094	0.20	0.61	0.21	0.09	0.72	0.04	0.66	1.37	1.43	3.44	1.45	1.37	2.98	3.37	1.80	4.51	house church chinese oriental mural painting roofs curved building doors	384	256	NULL	NULL
177	400095	0.58	0.40	0.18	0.78	0.73	0.11	0.29	1.84	1.19	1.78	1.49	4.69	3.29	4.75	4.23	4.77	deer antelopes impalas gazelles brown rocks horns fight butting	384	256	NULL	NULL
178	400097	0.34	0.39	0.23	0.10	0.67	0.85	0.51	4.60	1.37	4.60	1.61	1.83	2.71	4.67	1.97	4.69	lakes water mountains trees sky clouds island	384	256	NULL	NULL
179	400099	0.50	0.89	0.31	0.01	0.51	0.22	0.32	1.28	1.30	4.34	1.30	1.42	2.80	3.96	1.41	4.78	houses building cottages country roads hills green ireland britain chimneys white	384	256	NULL	NULL
180	j0078610	0.15	0.87	0.51	0.14	0.38	0.01	0.85	1.29	4.14	1.28	1.28	1.28	2.79	1.95	2.06	2.09	doors wall patterns angles child children kids smiles boy girl	255	381	NULL	NULL
181	j0144384	0.49	0.32	0.53	0.18	0.40	0.25	0.29	1.45	1.56	3.11	1.91	4.33	3.17	3.94	2.37	4.39	rooster chicken grey gray wood fence feathers bird orange black tail crowing	450	299	NULL	NULL
182	j0144615	0.85	0.26	0.33	0.01	0.23	0.17	0.65	1.71	1.34	3.29	4.67	1.36	2.76	3.09	1.31	1.54	basket wicker table fruits vegetables round grapes tomatoes peaches carrots food	450	305	NULL	NULL
183	j0144694	0.41	0.35	0.56	0.12	0.71	0.40	0.65	1.40	2.12	2.43	1.33	1.32	2.96	2.42	2.08	4.64	missiles rockets points tall cylinders towers space antenna satellites	450	297	NULL	NULL
184	j0145217	0.50	0.29	0.33	0.05	0.09	0.68	0.23	2.59	1.31	4.17	1.43	1.52	1.32	4.65	1.46	4.67	forest woods snow trees cold drifts white winter	450	297	NULL	NULL
185	j0145707	0.84	0.38	0.34	0.08	0.17	0.07	0.79	1.32	1.48	1.33	1.39	1.36	3.59	2.24	1.46	3.23	building stone marble hallway arches columns walkway passageway scalloped	290	450	NULL	NULL
186	j0145798	0.74	0.82	0.58	0.09	0.43	0.16	0.54	1.20	2.09	2.39	1.24	1.26	2.96	2.43	2.01	4.72	arch arc triomphe triumph monument paris france cars traffic lamppost streetlight	290	450	NULL	NULL
187	j0145838	0.81	0.82	0.39	0.04	0.52	0.03	0.69	1.33	1.42	1.21	1.24	1.22	2.81	2.22	1.37	4.64	capitol capital building dome white angle columns court flagpole	290	450	NULL	NULL
188	j0145506	0.47	0.21	0.65	0.82	0.26	0.69	0.56	2.31	1.79	4.19	1.43	1.61	1.34	3.84	4.21	4.60	trains steam engines tracks rails snow trees smoke winter	450	297	NULL	NULL
189	j0148755	0.09	0.29	0.31	0.11	0.67	0.49	0.45	2.74	1.54	4.40	1.56	1.67	1.47	4.35	1.94	4.43	winter snow pines trees cold cabin storm drifts white	284	450	NULL	NULL
190	j0164051	0.57	0.75	0.44	0.08	0.66	0.42	0.73	1.41	1.52	1.26	1.23	1.27	2.82	2.26	1.68	4.64	eiffel towers tall paris france metal beams criss cross angles arcs	284	450	NULL	NULL
191	j0175402	0.91	0.17	0.06	0.06	0.05	0.17	0.38	1.38	1.27	1.26	4.72	1.21	3.08	2.06	1.23	1.54	pretzels food baked salty chewy twist heart brown chains links	450	306	NULL	NULL
192	j0178355	0.92	0.65	0.39	0.04	0.19	0.25	0.64	1.42	1.30	1.95	4.74	1.18	3.78	2.86	1.31	1.39	pies baking baked crust round cooling rack shelf windowsill food dish warm smells	450	300	NULL	NULL
193	j0178448	0.70	0.55	0.41	0.63	0.37	0.59	0.16	1.38	1.62	1.29	1.30	1.30	4.64	2.08	3.77	1.57	redhot hot pouring molten metal steel fire flame kiln smoke orange mold cup ladle circle	301	450	NULL	NULL
194	j0178759	0.83	0.17	0.06	0.43	0.05	0.56	0.03	1.41	1.59	1.74	1.43	4.69	3.33	4.22	3.19	3.99	gorillas apes monkeys furry dark black	450	301	NULL	NULL
195	j0178843	0.72	0.19	0.15	0.24	0.23	0.17	0.25	1.47	4.55	1.43	1.39	1.67	2.93	3.22	2.92	1.95	faces hands eyes surprise shock fear woman expression emotion	299	450	NULL	NULL
196	j0180654	0.69	0.18	0.07	0.26	0.14	0.45	0.17	1.52	1.49	4.26	2.92	4.52	3.52	4.51	2.43	4.62	monkeys apes baboons hairy furry orange grass green	284	450	NULL	NULL
197	j0180710	0.84	0.03	0.19	0.56	0.21	0.11	0.64	1.32	1.29	1.36	1.49	4.53	4.31	4.46	3.35	4.39	snakes serpents reptile rattlesnake rattler coiled venom poison orange desert rocks hot dry rope	450	296	NULL	NULL
198	j0180718	0.71	0.18	0.18	0.47	0.20	0.46	0.75	1.93	1.43	2.59	1.45	4.79	1.72	4.60	3.15	4.70	tigers stripes sand snow fur cats	450	296	NULL	NULL
199	j0181446	0.79	0.10	0.05	0.11	0.34	0.80	0.30	1.22	1.33	1.27	1.36	4.73	3.00	3.84	2.04	2.57	cats kitty kittens fur furry hair soft whiskers hair fluffy pet animal faces	284	450	NULL	NULL
200	j0182466	0.30	0.63	0.58	0.05	0.44	0.45	0.82	1.38	1.41	1.32	1.29	1.35	2.96	2.50	1.74	4.54	buildings pillars columns government monument stone white entrance	450	300	NULL	NULL
201	j0182489	0.82	0.63	0.62	0.05	0.59	0.39	0.63	4.35	1.80	3.52	1.38	1.39	3.36	2.81	1.67	4.53	building taj mahal india reflecting reflection mirror pool water mosque marble stone white dome arches columns	301	450	NULL	NULL
202	j0202015	0.72	0.16	0.07	0.82	0.09	0.74	0.04	4.63	4.67	1.46	1.46	1.46	3.54	3.98	4.44	4.38	kids child water pouring wet shower cool splash cup baby summer hot	299	450	NULL	NULL
203	j0202098	0.14	0.84	0.58	0.03	0.32	0.07	0.80	1.34	4.62	1.29	1.31	1.32	2.88	2.46	1.86	1.44	windows man boys books reading light glass windowsill ledge nook squares blocks sunlight students	296	450	NULL	NULL
204	j0227507	0.83	0.18	0.02	0.08	0.08	0.40	0.25	1.34	4.75	1.26	1.27	1.38	3.09	3.14	1.74	1.67	people couple black man woman male female faces heads beard eyes smiles happy	450	299	NULL	NULL
205	j0284951	0.81	0.11	0.04	0.52	0.08	0.41	0.16	1.40	4.67	2.99	1.35	1.44	3.08	3.93	3.00	4.35	man woman male female people couple kissing love affection faces heads gray grey hair mouthes lips teeth	450	299	NULL	NULL
206	j0289938	0.65	0.81	0.40	0.07	0.31	0.12	0.75	1.59	4.42	3.11	4.57	1.47	3.05	3.14	2.11	4.13	food fruits vegetables produce grocery stand man apron sidewalk market store boxes rectangles round	450	298	NULL	NULL
207	ph01475j	0.51	0.29	0.52	0.80	0.20	0.21	0.12	1.44	4.48	3.64	1.43	1.39	3.02	3.66	4.49	4.63	man boys jump leap action skates rollerblades rollerskates wharf park metal	298	450	NULL	NULL
208	ph01948j	0.81	0.35	0.05	0.69	0.13	0.17	0.12	1.84	4.61	1.49	1.53	1.67	3.47	2.83	3.55	1.76	man body muscles weights barbells iron weightlifting curls bodybuilder exercise workout skin chest arms sweat	450	300	NULL	NULL
209	ph02008j	0.82	0.08	0.09	0.29	0.08	0.34	0.10	1.73	4.65	1.27	1.33	1.53	2.96	3.32	2.40	1.97	child faces little girl child blonde pout lips sad	450	298	NULL	NULL
210	ph02786j	0.89	0.36	0.10	0.09	0.42	0.29	0.61	1.77	1.36	3.00	4.74	1.37	2.89	3.39	1.47	2.48	fruit red coconut strawberry strawberries berry berries cherry cherries chocolate nuts walnuts oranges lemons round food	378	293	NULL	NULL
211	ph02809j	0.86	0.13	0.39	0.03	0.27	0.62	0.32	1.85	1.42	2.39	4.68	1.32	1.72	2.29	1.34	1.70	ice cream dessert cookie coconut round sticks cinnamon food cold cool white glass	378	293	NULL	NULL
212	ph02812j	0.88	0.04	0.06	0.04	0.12	0.27	0.32	3.50	1.36	2.92	4.61	1.29	2.77	3.15	1.43	1.78	fruits food apples red lemons oranges limes round spheres	378	293	NULL	NULL
213	ph02844j	0.84	0.48	0.08	0.07	0.21	0.27	0.82	1.54	1.34	1.49	4.65	1.37	3.17	2.39	1.38	1.43	rolls pastries buns warm swirl eggs dough sugar pans basket food round circles bake flour rolling pin	293	378	NULL	NULL
214	ph02874j	0.88	0.58	0.32	0.05	0.10	0.31	0.77	1.82	1.45	1.98	4.67	1.33	3.73	2.42	1.48	1.64	waffles breakfast brown round squares butter syrup strawberry berry food plate	293	378	NULL	NULL
215	ph02890j	0.58	0.42	0.14	0.18	0.32	0.21	0.10	1.59	1.42	3.73	2.44	4.67	3.07	4.50	2.22	4.74	cows faces cattle brown white horns steer grass farm pen hay	216	323	NULL	NULL
216	ph02902j	0.18	0.47	0.83	0.19	0.31	0.57	0.61	2.89	1.29	1.54	1.18	1.29	1.32	4.18	1.74	4.64	snow winter path fences tracks cold ice soft white	216	317	NULL	NULL
217	ph02926j	0.80	0.02	0.03	0.36	0.08	0.48	0.16	1.44	4.54	1.35	1.54	1.58	2.94	2.53	3.03	3.10	clowns white faces red hair wig makeup bozo smiles circus nose	216	319	NULL	NULL
218	ph02969j	0.02	0.89	0.61	0.03	0.78	0.35	0.86	1.34	1.43	3.21	1.24	1.26	3.36	3.23	1.45	4.65	pyramids steps mexico stairs old ancient building temple monument stone white triangles angles	360	239	NULL	NULL
